GEM unit/phase ID,GEM location ID,Country,Wiki URL,Plant name,Unit name,Plant name (local),Plant name (other),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Previous Region,Latitude,Longitude,Location accuracy,Permits (Detail),Permits (Main Date Only),Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Financier,Financier Public or Private,Financier Type,Domestic/International,Financier Country,Advisor,Type of Finance,Equity Partnership,Units Included,Financing Status,Repaid?,Close Date,Close Year,All Finance This Plant,This Financier's Total Share,This Financier's Unit Share,EPC Company,Insurance,Equipment (GENMFR),TurbMFR,BoilerMFR
G100000103107,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 2,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Heungkuk Fire & Marine Insurance,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00","$147,600,000.00","$73,800,000.00",,,,,
G100000103106,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 1,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Heungkuk Life Insurance,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00","$159,030,000.00","$79,515,000.00",,,,,
G100000103107,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 2,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Heungkuk Life Insurance,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00","$159,030,000.00","$79,515,000.00",,,,,
G100000107730,L100000102728,Indonesia,https://www.gem.wiki/Paiton-1_power_station,Paiton-1 power station,Unit 7,,百通电站,PT Paiton Energy [100%],RATCH Group PLC [45.5%]; PT Medco Daya Abadi Lestari [28.5%]; Qatar Electricity and Water Company QPSC [15.6%]; Ras Laffan Operating Company WLL [10.4%],615,operating,1999,,,subcritical,subbituminous,,bioenergy - wood & other biomass (solids),Bhinor,Paiton,Probolinggo,East Java,South-eastern Asia,Asia,SE Asia,-7.715299,113.585706,exact,,,,,,"10,442","96,100",53.00%,3,48.4,HSBC,Private,Privately-owned commercial institution,International,United Kingdom,,loan,,,Closed,,9/26/2017,2017,"$1,378,385,000.00","$81,070,000.00","$20,267,500.00",,,,,
G100000107731,L100000102728,Indonesia,https://www.gem.wiki/Paiton-1_power_station,Paiton-1 power station,Unit 8,,百通电站,PT Paiton Energy [100%],RATCH Group PLC [45.5%]; PT Medco Daya Abadi Lestari [28.5%]; Qatar Electricity and Water Company QPSC [15.6%]; Ras Laffan Operating Company WLL [10.4%],615,operating,1999,,,subcritical,subbituminous,,bioenergy - wood & other biomass (solids),Bhinor,Paiton,Probolinggo,East Java,South-eastern Asia,Asia,SE Asia,-7.715299,113.585706,exact,,,,,,"10,442","96,100",53.00%,3,48.4,HSBC,Private,Privately-owned commercial institution,International,United Kingdom,,loan,,,Closed,,9/26/2017,2017,"$1,378,385,000.00","$81,070,000.00","$20,267,500.00",,,,,
G100000107734,L100000102730,Indonesia,https://www.gem.wiki/Paiton-3_power_station,Paiton-3 power station,--,,百通电站,PT Paiton Energy [100%],RATCH Group PLC [45.5%]; PT Medco Daya Abadi Lestari [28.5%]; Qatar Electricity and Water Company QPSC [15.6%]; Ras Laffan Operating Company WLL [10.4%],825,operating,2012,,,supercritical,subbituminous,,,Bhinor,Paiton,Probolinggo,East Java,South-eastern Asia,Asia,SE Asia,-7.71446,113.58326,exact,,,,,,"9,250","96,100",53.00%,3.6,104.2,HSBC,Private,Privately-owned commercial institution,International,United Kingdom,,reFinancing loan,,,Closed,,9/21/2017,2017,"$2,897,365,000.00","$81,070,000.00","$40,535,000.00",,,,,
G100000109790,L100000102785,Indonesia,https://www.gem.wiki/Tabalong_power_station,Tabalong power station,Unit 1,,Kalsel FTP2,PT Tanjung Power Indonesia [100%],PT Adaro Power [65.0%]; Korea Electric Power Corp [35.0%],100,operating,2019,,,subcritical,lignite,mine-mouth,,Adaro's Tanjung coal mine,,Tabalong,South Kalimantan,South-eastern Asia,Asia,SE Asia,-2.163427,115.440814,exact,,,,,,"10,442","101,000",53.00%,0.5,18.6,HSBC,Private,Privately-owned commercial institution,International,United Kingdom,DBS Bank,loan,,"1,2",Closed,,11/24/2017,2017,"$540,000,000.00","$25,000,000.00","$12,500,000.00",,K-Sure,,,
G100000109791,L100000102785,Indonesia,https://www.gem.wiki/Tabalong_power_station,Tabalong power station,Unit 2,,Kalsel FTP2,PT Tanjung Power Indonesia [100%],PT Adaro Power [65.0%]; Korea Electric Power Corp [35.0%],100,operating,2019,,,subcritical,lignite,mine-mouth,,Adaro's Tanjung coal mine,,Tabalong,South Kalimantan,South-eastern Asia,Asia,SE Asia,-2.163427,115.440814,exact,,,,,,"10,442","101,000",53.00%,0.5,18.6,HSBC,Private,Privately-owned commercial institution,International,United Kingdom,DBS Bank,loan,,"1,2",Closed,,11/24/2017,2017,"$540,000,000.00","$25,000,000.00","$12,500,000.00",,K-Sure,,,
G100000108714,L100000103133,Pakistan,https://www.gem.wiki/Sahiwal_power_station,Sahiwal power station,Unit 1,,,Huaneng Shandong Ruyi (Pakistan) Energy [100%],China Huaneng Group Co Ltd; Shandong Ruyi Technology Group,660,operating,2017,,,Unknown,bituminous,imported,,Sahiwal,,Sahiwal,Punjab province,Southern Asia,Asia,South Asia,30.71422,73.23802,exact,,,,,,"8,605","94,600",53.00%,2.6,89.5,Huaneng Power International,Private,Government-owned commercial institution,International,China,N/A,equity,,"1,2",Closed,,2/1/2017,2017,"$1,800,000,000.00","$183,600,000.00","$91,800,000.00",,,,,
G100000108715,L100000103133,Pakistan,https://www.gem.wiki/Sahiwal_power_station,Sahiwal power station,Unit 2,,,Huaneng Shandong Ruyi (Pakistan) Energy [100%],China Huaneng Group Co Ltd; Shandong Ruyi Technology Group,660,operating,2017,,,Unknown,bituminous,imported,,Sahiwal,,Sahiwal,Punjab province,Southern Asia,Asia,South Asia,30.71422,73.23802,exact,,,,,,"8,605","94,600",53.00%,2.6,89.5,Huaneng Power International,Private,Government-owned commercial institution,International,China,N/A,equity,,"1,2",Closed,,2/1/2017,2017,"$1,800,000,000.00","$183,600,000.00","$91,800,000.00",,,,,
G100000103106,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 1,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Hyundai Marine & Fire Insurance,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00",,,,,,,
G100000103107,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 2,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Hyundai Marine & Fire Insurance,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00",,,,,,,
G100000107144,L100000102112,India,https://www.gem.wiki/Muzaffarpur_power_station,Muzaffarpur power station,Unit 3,,"Kanti power station, Kanti Muzaffarpur power station",Kanti Bijlee Utpadan Nigam [100%],NTPC Ltd [100.0%],195,operating,2015,,,subcritical,bituminous,,,Kanti,,Muzaffarpur,Bihar,Southern Asia,Asia,South Asia,26.194771,85.303302,exact,"November 9, 2009 – Environmental Clearance","Year: 2009, Month: 11, Day: 9",,,,"10,442","94,600",53.00%,0.9,30.2,India Infrastructure Finance Company,Private,Government-owned commercial institution,Domestic,India,N/A,loan,,"3,4",Closed,,9/30/2017,2017,"$409,818,312.00","$102,454,578.00","$51,227,289.00",,,,,
G100000107145,L100000102112,India,https://www.gem.wiki/Muzaffarpur_power_station,Muzaffarpur power station,Unit 4,,"Kanti power station, Kanti Muzaffarpur power station",Kanti Bijlee Utpadan Nigam [100%],NTPC Ltd [100.0%],195,operating,2017,,,Unknown,Unknown,,,Kanti,,Muzaffarpur,Bihar,Southern Asia,Asia,South Asia,26.194771,85.303302,exact,"November 9, 2009 – Environmental Clearance","Year: 2009, Month: 11, Day: 9",,,,"10,326","96,100",53.00%,0.9,32.2,India Infrastructure Finance Company,Private,Government-owned commercial institution,Domestic,India,N/A,loan,,"3,4",Closed,,9/30/2017,2017,"$409,818,312.00","$102,454,578.00","$51,227,289.00",,,,,
G100000100757,L100000102707,Indonesia,https://www.gem.wiki/Bengkulu_power_station,Bengkulu power station,Unit 1,,明古鲁电站,PT Tenaga Listrik Bengkulu [100%],Power Construction Corporation of China Ltd [70.0%]; PT Intraco Penta Tbk [30.0%],100,operating,2019,,,subcritical,Unknown,,,,,,Bengkulu,South-eastern Asia,Asia,SE Asia,-3.912348,102.270375,exact,,,,,,"10,442","96,100",53.00%,0.5,17.7,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,DBS Bank,loan,,"1,2",Closed,,7/10/2017,2017,"$360,000,000.00","$135,000,000.00","$67,500,000.00",,,,,
G100000102532,L100000104347,Vietnam,https://www.gem.wiki/Duyen_Hai_Power_Generation_Complex,Duyen Hai Power Generation Complex,Unit 2-1,,,Malakoff Technical Solutions [100%],Malakoff Corporation Bhd [100.0%],600,operating,2021,,,Unknown,bituminous,imported,,,Dan Thanh,Duhen Hai,Tra Vinh,South-eastern Asia,Asia,SE Asia,9.58517,106.52809,exact,,,,,,"8,605","94,600",53.00%,2.4,90.9,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,N/A,loan,,"1,2",Closed,,6/2/2017,2017,"$1,760,000,000.00","$880,000,000.00","$440,000,000.00",,,,,
G100000108714,L100000103133,Pakistan,https://www.gem.wiki/Sahiwal_power_station,Sahiwal power station,Unit 1,,,Huaneng Shandong Ruyi (Pakistan) Energy [100%],China Huaneng Group Co Ltd; Shandong Ruyi Technology Group,660,operating,2017,,,Unknown,bituminous,imported,,Sahiwal,,Sahiwal,Punjab province,Southern Asia,Asia,South Asia,30.71422,73.23802,exact,,,,,,"8,605","94,600",53.00%,2.6,89.5,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,N/A,loan,,"1,2",Closed,,2/1/2017,2017,"$1,800,000,000.00","$1,440,000,000.00","$720,000,000.00",,,,,
G100000108715,L100000103133,Pakistan,https://www.gem.wiki/Sahiwal_power_station,Sahiwal power station,Unit 2,,,Huaneng Shandong Ruyi (Pakistan) Energy [100%],China Huaneng Group Co Ltd; Shandong Ruyi Technology Group,660,operating,2017,,,Unknown,bituminous,imported,,Sahiwal,,Sahiwal,Punjab province,Southern Asia,Asia,South Asia,30.71422,73.23802,exact,,,,,,"8,605","94,600",53.00%,2.6,89.5,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,N/A,loan,,"1,2",Closed,,2/1/2017,2017,"$1,800,000,000.00","$1,440,000,000.00","$720,000,000.00",,,,,
G100000109696,L100000102804,Indonesia,https://www.gem.wiki/Sumsel-1_power_station,Sumsel-1 power station,Unit 1,,神华国华南苏1号二期 (国华美朗电厂南苏1号),PT Lion Power Energy; China Shenhua Energy,China Shenhua Energy; PT Lion Power Energy,300,construction,2024,,,subcritical,Unknown,,,Tanjung Menang village,,Rambang Dangku District,South Sumatra,South-eastern Asia,Asia,SE Asia,-3.476667,103.999167,exact,,,,,,"9,572","96,100",53.00%,1.4,54.1,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,N/A,loan,,"1,2",Closed,,1/9/2017,2017,"$520,000,000.00","$52,000,000.00","$26,000,000.00",China National Electric Engineering Company,,,,
G100000109697,L100000102804,Indonesia,https://www.gem.wiki/Sumsel-1_power_station,Sumsel-1 power station,Unit 2,,神华国华南苏1号二期 (国华美朗电厂南苏1号),PT Lion Power Energy; China Shenhua Energy,China Shenhua Energy; PT Lion Power Energy,300,construction,2024,,,subcritical,Unknown,,,Tanjung Menang village,,Rambang Dangku District,South Sumatra,South-eastern Asia,Asia,SE Asia,-3.476667,103.999167,exact,,,,,,"9,572","96,100",53.00%,1.4,54.1,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,N/A,loan,,"1,2",Closed,,1/9/2017,2017,"$520,000,000.00","$52,000,000.00","$26,000,000.00",China National Electric Engineering Company,,,,
G100000112736,L100000102707,Indonesia,https://www.gem.wiki/Bengkulu_power_station,Bengkulu power station,Unit 2,,明古鲁电站,PT Tenaga Listrik Bengkulu [100%],Power Construction Corporation of China Ltd [70.0%]; PT Intraco Penta Tbk [30.0%],100,operating,2019,,,subcritical,Unknown,,,,,,Bengkulu,South-eastern Asia,Asia,SE Asia,-3.912348,102.270375,exact,,,,,,"10,442","96,100",53.00%,0.5,17.7,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,DBS Bank,loan,,"1,2",Closed,,7/10/2017,2017,"$360,000,000.00","$135,000,000.00","$67,500,000.00",,,,,
G100000114509,L100000104347,Vietnam,https://www.gem.wiki/Duyen_Hai_Power_Generation_Complex,Duyen Hai Power Generation Complex,Unit 2-2,,,Malakoff Technical Solutions [100%],Malakoff Corporation Bhd [100.0%],600,operating,2021,,,Unknown,bituminous,imported,,,Dan Thanh,Duhen Hai,Tra Vinh,South-eastern Asia,Asia,SE Asia,9.58517,106.52809,exact,,,,,,"8,605","94,600",53.00%,2.4,90.9,Industrial and Commercial Bank of China (ICBC),Private,Government-owned commercial institution,International,China,N/A,loan,,"1,2",Closed,,6/2/2017,2017,"$1,760,000,000.00","$880,000,000.00","$440,000,000.00",,,,,
G100000103106,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 1,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00","$1,800,000.00","$900,000.00",,,,,
G100000103107,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 2,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,Industrial Bank of Korea,Private,Government-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00","$1,800,000.00","$900,000.00",,,,,
G100000101591,L100000102814,Indonesia,https://www.gem.wiki/Cirebon_power_station,Cirebon power station,Unit 2,,井里汶电站,PT Cirebon Electric Power [100%],Marubeni Corp [32.5%]; Korea Electric Power Corp [27.5%]; PT Indika Energy Tbk [20.0%]; ST International Corp [20.0%],924,operating,2023,,,ultra-supercritical,Unknown,,,Kanci Kulon,Astanajapura,Cirebon,West Java,South-eastern Asia,Asia,SE Asia,-6.770286,108.614858,exact,,,,,,"8,272","96,100",53.00%,3.6,143.9,ING Group,Private,Privately-owned commercial institution,International,Netherlands,ING,loan,,2,Closed,,4/18/2017,2017,"$2,175,000,000.00","$124,550,000.00","$124,550,000.00",,"Export-Import Bank of Korea, Nippon Export and Investment Insurance",,,
G100000100757,L100000102707,Indonesia,https://www.gem.wiki/Bengkulu_power_station,Bengkulu power station,Unit 1,,明古鲁电站,PT Tenaga Listrik Bengkulu [100%],Power Construction Corporation of China Ltd [70.0%]; PT Intraco Penta Tbk [30.0%],100,operating,2019,,,subcritical,Unknown,,,,,,Bengkulu,South-eastern Asia,Asia,SE Asia,-3.912348,102.270375,exact,,,,,,"10,442","96,100",53.00%,0.5,17.7,Intraco Penta Group,Private,Privately-owned commercial institution,Domestic,Indonesia,DBS Bank,equity,,"1,2",Closed,,7/10/2017,2017,"$360,000,000.00","$45,000,000.00","$22,500,000.00",,,,,
G100000112736,L100000102707,Indonesia,https://www.gem.wiki/Bengkulu_power_station,Bengkulu power station,Unit 2,,明古鲁电站,PT Tenaga Listrik Bengkulu [100%],Power Construction Corporation of China Ltd [70.0%]; PT Intraco Penta Tbk [30.0%],100,operating,2019,,,subcritical,Unknown,,,,,,Bengkulu,South-eastern Asia,Asia,SE Asia,-3.912348,102.270375,exact,,,,,,"10,442","96,100",53.00%,0.5,17.7,Intraco Penta Group,Private,Privately-owned commercial institution,Domestic,Indonesia,DBS Bank,equity,,"1,2",Closed,,7/10/2017,2017,"$360,000,000.00","$45,000,000.00","$22,500,000.00",,,,,
G100000100515,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 5,,Kalselteng-2,PT PLN (Persero),PT PLN (Persero),100,construction,2023,,,CFB,lignite,,,,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,SE Asia,-3.9265336,115.105805,exact,,,,,,"10,442","101,000",53.00%,0.5,20.7,Japan Bank for International Cooperation,Public,Governmental policy institution,International,Japan,N/A,loan,,"1,2",Closed,,6/21/2017,2017,"$241,000,000.00","$144,000,000.00","$72,000,000.00",ITOCHU Corporation,,,,
G100000100516,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 6,,Kalselteng-2,PT PLN (Persero),PT PLN (Persero),100,construction,2023,,,CFB,lignite,,,,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,SE Asia,-3.9265336,115.105805,exact,,,,,,"10,442","101,000",53.00%,0.5,20.7,Japan Bank for International Cooperation,Public,Governmental policy institution,International,Japan,N/A,loan,,"1,2",Closed,,6/21/2017,2017,"$241,000,000.00","$144,000,000.00","$72,000,000.00",ITOCHU Corporation,,,,
G100000101591,L100000102814,Indonesia,https://www.gem.wiki/Cirebon_power_station,Cirebon power station,Unit 2,,井里汶电站,PT Cirebon Electric Power [100%],Marubeni Corp [32.5%]; Korea Electric Power Corp [27.5%]; PT Indika Energy Tbk [20.0%]; ST International Corp [20.0%],924,operating,2023,,,ultra-supercritical,Unknown,,,Kanci Kulon,Astanajapura,Cirebon,West Java,South-eastern Asia,Asia,SE Asia,-6.770286,108.614858,exact,,,,,,"8,272","96,100",53.00%,3.6,143.9,Japan Bank for International Cooperation,Public,Governmental policy institution,International,Japan,ING,loan,,2,Closed,,4/18/2017,2017,"$2,175,000,000.00","$731,000,000.00","$731,000,000.00",,,,,
G100000109958,L100000102714,Indonesia,https://www.gem.wiki/Tanjung_Jati_B_power_station,Tanjung Jati B power station,Unit 5,,坦竣B电站,PT Bhumi Jati Power [100%],Kansai Electric Power Co; PT United Tractors Tbk; Sumitomo Corp,1000,operating,2022,,,ultra-supercritical,subbituminous,,,Tanjung Jati,Kembang,Jepara,Central Java,South-eastern Asia,Asia,SE Asia,-6.446488,110.742359,exact,,,,,,"8,272","96,100",53.00%,3.9,151.9,Japan Bank for International Cooperation,Public,Governmental policy institution,International,Japan,Sumitomo Mitsui Banking Corporation,loan,,"5,6",Closed,,3/27/2017,2017,"$4,194,030,000.00","$1,677,610,000.00","$838,805,000.00",,,,,
G100000109959,L100000102714,Indonesia,https://www.gem.wiki/Tanjung_Jati_B_power_station,Tanjung Jati B power station,Unit 6,,坦竣B电站,PT Bhumi Jati Power [100%],Kansai Electric Power Co; PT United Tractors Tbk; Sumitomo Corp,1000,operating,2022,,,ultra-supercritical,subbituminous,,,Tanjung Jati,Kembang,Jepara,Central Java,South-eastern Asia,Asia,SE Asia,-6.446488,110.742359,exact,,,,,,"8,272","96,100",53.00%,3.9,151.9,Japan Bank for International Cooperation,Public,Governmental policy institution,International,Japan,Sumitomo Mitsui Banking Corporation,loan,,"5,6",Closed,,3/27/2017,2017,"$4,194,030,000.00","$1,677,610,000.00","$838,805,000.00",,,,,
G100000110618,L100000104306,Vietnam,https://www.gem.wiki/Vinh_Tan_power_station,Vinh Tan power station,Phase 4 extension,,Vinh Tan-4 extension (Phase 4 extension),Vietnam Electricity [100%],Vietnam Electricity [100.0%],600,operating,2019,,,ultra-supercritical,Unknown,,,,Vinh Tan,Tuy Phong,Binh Thuan,South-eastern Asia,Asia,SE Asia,11.317,108.808,exact,,,,,,"8,272","96,100",53.00%,2.3,84.1,Japan Bank for International Cooperation,Public,Governmental policy institution,International,Japan,N/A,loan,,extension,Closed,,April 2017,2017,"$2,776,800,000.00","$50,000,000.00","$50,000,000.00",Harbin-General Electric alliance,,,,
G100000105679,L100000102826,Indonesia,https://www.gem.wiki/Ketapang_Smelter_power_station,Ketapang Smelter power station,Phase I Unit 3,,魏桥集团印尼宏发韦立氧化铝公司印尼热电厂,PT Well Harvest Winning Alumina Refinery [100%],China Hongqiao Group; Harita Group,30,operating,2016,,,subcritical,Unknown,,,,Kendawangan,Ketapang,West Kalimantan,South-eastern Asia,Asia,SE Asia,-2.366182,110.157272,exact,,,aluminum,power,,"10,442","96,100",53.00%,0.1,4.9,Bank of China,Private,Government-owned commercial institution,International,China,DBS Bank (sponsor),loan,,3,Closed,,1/15/2017,2017,,,,,,,,
G100000105679,L100000102826,Indonesia,https://www.gem.wiki/Ketapang_Smelter_power_station,Ketapang Smelter power station,Phase I Unit 3,,魏桥集团印尼宏发韦立氧化铝公司印尼热电厂,PT Well Harvest Winning Alumina Refinery [100%],China Hongqiao Group; Harita Group,30,operating,2016,,,subcritical,Unknown,,,,Kendawangan,Ketapang,West Kalimantan,South-eastern Asia,Asia,SE Asia,-2.366182,110.157272,exact,,,aluminum,power,,"10,442","96,100",53.00%,0.1,4.9,China Hongqiao Group,Private,Privately-owned commercial institution,International,China,DBS Bank (sponsor),equity,,3,Closed,,1/15/2017,2017,,,,,,,,
G100000105679,L100000102826,Indonesia,https://www.gem.wiki/Ketapang_Smelter_power_station,Ketapang Smelter power station,Phase I Unit 3,,魏桥集团印尼宏发韦立氧化铝公司印尼热电厂,PT Well Harvest Winning Alumina Refinery [100%],China Hongqiao Group; Harita Group,30,operating,2016,,,subcritical,Unknown,,,,Kendawangan,Ketapang,West Kalimantan,South-eastern Asia,Asia,SE Asia,-2.366182,110.157272,exact,,,aluminum,power,,"10,442","96,100",53.00%,0.1,4.9,DBS Bank,Private,Privately-owned commercial institution,International,Singapore,DBS Bank (sponsor),loan,,3,Closed,,1/15/2017,2017,,,,,,,,
G100000110406,L100000100100,Bosnia and Herzegovina,https://www.gem.wiki/Tuzla_Thermal_Power_Plant,Tuzla Thermal Power Plant,Unit 7,,"Tuzla 7 (Unit 7), Tuzla 8 (Unit 8)",Elektroprivreda BiH [100%],Government of the Federation of Bosnia and Herzegovina [90.4%]; others [9.6%],450,cancelled,2019,,,supercritical,lignite,Đurđevik and Banovići coal mines,,Tuzla,,,FBIH,Southern Europe,Europe,non-EU Europe,44.52,18.606111,exact,,,,,,"8,409","101,000",53.00%,1.9,74.9,JP Elektroprivreda BiH,Private,Government-owned commercial institution,Domestic,Bosnia and Herzegovina,N/A,equity,,7,Closed,,November 2017,2017,"$1,107,420,000.00","$134,920,000.00","$134,920,000.00","Gezhouba International Engineering Co., Ltd.(EnergyChina)",,,,
G100000109958,L100000102714,Indonesia,https://www.gem.wiki/Tanjung_Jati_B_power_station,Tanjung Jati B power station,Unit 5,,坦竣B电站,PT Bhumi Jati Power [100%],Kansai Electric Power Co; PT United Tractors Tbk; Sumitomo Corp,1000,operating,2022,,,ultra-supercritical,subbituminous,,,Tanjung Jati,Kembang,Jepara,Central Java,South-eastern Asia,Asia,SE Asia,-6.446488,110.742359,exact,,,,,,"8,272","96,100",53.00%,3.9,151.9,Kansai Electric Power,Private,Privately-owned commercial institution,International,Japan,Sumitomo Mitsui Banking Corporation,equity,,"5,6",Closed,,3/27/2017,2017,"$4,194,030,000.00","$209,700,000.00","$104,850,000.00",,,,,
G100000109959,L100000102714,Indonesia,https://www.gem.wiki/Tanjung_Jati_B_power_station,Tanjung Jati B power station,Unit 6,,坦竣B电站,PT Bhumi Jati Power [100%],Kansai Electric Power Co; PT United Tractors Tbk; Sumitomo Corp,1000,operating,2022,,,ultra-supercritical,subbituminous,,,Tanjung Jati,Kembang,Jepara,Central Java,South-eastern Asia,Asia,SE Asia,-6.446488,110.742359,exact,,,,,,"8,272","96,100",53.00%,3.9,151.9,Kansai Electric Power,Private,Privately-owned commercial institution,International,Japan,Sumitomo Mitsui Banking Corporation,equity,,"5,6",Closed,,3/27/2017,2017,"$4,194,030,000.00","$209,700,000.00","$104,850,000.00",,,,,
G100000103106,L100000103484,South Korea,https://www.gem.wiki/Goseong_Green_power_station,Goseong Green power station,Unit 1,고성그린파워,"Goseong Hi, Goseung Hai, Goseong High, 고성그린파워",Goseong Green Power [100%],other Unknown/mixed entity types [52.0%]; Korea Electric Power Corp [29.0%]; SK Gas Co Ltd [19.0%],1040,operating,2021,,2051,ultra-supercritical,Unknown,,,Hai-myeon,Geumseong,Hadong,South Gyeongsang,Eastern Asia,Asia,East Asia,34.904909,128.125406,exact,,,,,,"8,272","96,100",53.00%,4,117.4,KB Insurance,Private,Privately-owned commercial institution,Domestic,South Korea,N/A,loan,,"1,2",Closed,,2017,2017,"$3,901,229,795.00",,,,,,,
